,index,Rental price,Deposit,Number rooms,Number floors,Number bathrooms,Surface area,Interior,House Type,Construction Year,Balcony,Deposit Rent ratio,1_x,1_y
48,https://www.pararius.com/house-for-rent/amsterdam/ecf72fea/parosstraat,1000.0,2000.0,9.0,1.0,3.0,250.0,Furnished,House,2003.0,0,2.0,Nieuw-West,Nieuw-West
49,https://www.pararius.com/apartment-for-rent/amsterdam/6c80aa6d/sam-de-wolffstraat,2000.0,4000.0,3.0,1.0,1.0,94.0,,Apartment,1983.0,0,2.0,Nieuw-West,Nieuw-West
50,https://www.pararius.com/apartment-for-rent/amsterdam/612853d9/anna-spenglerstraat,2900.0,,3.0,1.0,1.0,115.0,Furnished,Apartment,1891.0,0,,West,West
51,https://www.pararius.com/apartment-for-rent/amsterdam/11817b40/jacob-van-lennepstraat,1800.0,,3.0,1.0,1.0,52.0,Furnished,Apartment,1900.0,1,,West,West
52,https://www.pararius.com/apartment-for-rent/amsterdam/ff513bf4/tolbrugstraat,1500.0,1500.0,2.0,1.0,1.0,55.0,Upholstered or furnished,Apartment,1912.0,1,1.0,West,West
53,https://www.pararius.com/apartment-for-rent/amsterdam/778b2f69/bilderdijkstraat,2500.0,5000.0,3.0,1.0,1.0,70.0,Upholstered or furnished,Apartment,1905.0,1,2.0,West,West
54,https://www.pararius.com/apartment-for-rent/amsterdam/a7e63712/nassaukade,2250.0,3000.0,2.0,,,85.0,Furnished,Apartment,1984.0,1,1.3333333333333333,West,West
55,https://www.pararius.com/apartment-for-rent/amsterdam/6a08d395/vondelstraat,2000.0,,3.0,1.0,1.0,100.0,Furnished,Apartment,1934.0,1,,West,West
56,https://www.pararius.com/apartment-for-rent/amsterdam/53c38ba3/frederik-hendrikstraat,1750.0,,2.0,1.0,1.0,75.0,,Apartment,1905.0,0,,West,West
57,https://www.pararius.com/apartment-for-rent/amsterdam/d8047045/jan-van-galenstraat,1850.0,,3.0,,1.0,53.0,Upholstered,Apartment,,0,,West,West
58,https://www.pararius.com/apartment-for-rent/amsterdam/9b0230a6/wiltzanghlaan,2150.0,4300.0,3.0,1.0,1.0,75.0,Furnished,Apartment,1912.0,0,2.0,West,West
59,https://www.pararius.com/apartment-for-rent/amsterdam/eb66a077/joan-melchior-kemperstraat,2400.0,,3.0,1.0,1.0,85.0,Upholstered,Apartment,1906.0,1,,West,West
60,https://www.pararius.com/apartment-for-rent/amsterdam/a8387137/haardstee,1550.0,,4.0,1.0,1.0,85.0,,Apartment,1984.0,1,,Zuidoost,Zuidoost
61,https://www.pararius.com/apartment-for-rent/amsterdam/d920edb2/leerdamhof,1500.0,,2.0,,1.0,70.0,Furnished,Apartment,1980.0,1,,Zuidoost,Zuidoost
62,https://www.pararius.com/apartment-for-rent/amsterdam/4af79cbc/kleiburg,1595.0,,3.0,1.0,,68.0,,Apartment,1971.0,1,,Zuidoost,Zuidoost
63,https://www.pararius.com/studio-for-rent/amsterdam/d886ac17/elizabeth-cady-stantonplein,,1200.0,1.0,,,30.0,Upholstered,Studio,,0,,Zuidoost,Zuidoost
64,https://www.pararius.com/apartment-for-rent/amsterdam/500f55df/klaroenstraat,1700.0,3400.0,3.0,1.0,1.0,80.0,Upholstered,Apartment,2011.0,1,2.0,Zuidoost,Zuidoost
65,https://www.pararius.com/house-for-rent/amsterdam/02d81ad9/randwijkhof,1950.0,3900.0,4.0,2.0,1.0,94.0,Furnished,House,1993.0,0,2.0,Zuidoost,Zuidoost
66,https://www.pararius.com/apartment-for-rent/amsterdam/8b28f3d3/vleutenstraat,1650.0,,3.0,1.0,1.0,71.0,Furnished,Apartment,1982.0,1,,Zuidoost,Zuidoost
67,https://www.pararius.com/apartment-for-rent/amsterdam/68b0ba9d/dantestraat,1500.0,,3.0,1.0,1.0,60.0,Furnished,Apartment,1984.0,1,,Zuidoost,Zuidoost
68,https://www.pararius.com/apartment-for-rent/amsterdam/a6d201d2/gouden-leeuw,2000.0,,5.0,,1.0,106.0,Upholstered,Apartment,1974.0,1,,Zuidoost,Zuidoost
69,https://www.pararius.com/studio-for-rent/amsterdam/6d4d3d3c/schaarsbergenstraat,1200.0,2400.0,1.0,1.0,1.0,34.0,Upholstered,Studio,1981.0,1,2.0,Zuidoost,Zuidoost
